Title,Pdf,Epub
"Multimedia Big Data Computing for IoT Applications Concepts, Paradigms and Solutions Editors and affiliations",https://link.springer.com//content/pdf/10.1007%2F978-981-13-8759-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-8759-3.epub
Foundations of Behavioral Health Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-18435-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-18435-3.epub
Beatmung für Einsteiger Theorie und Praxis für die Gesundheits- und Krankenpflege,https://link.springer.com//content/pdf/10.1007%2F978-3-662-59294-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-59294-6.epub
Quick Start Guide to Verilog,https://link.springer.com//content/pdf/10.1007%2F978-3-030-10552-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-10552-5.epub
Perceptual Organization An Integrated Multisensory Approach,https://link.springer.com//content/pdf/10.1007%2F978-3-319-96337-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-96337-2.epub
Social Justice Theory and Practice for Social Work Critical and Philosophical Perspectives,https://link.springer.com//content/pdf/10.1007%2F978-981-13-3621-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-3621-8.epub
"An Anthology of London in Literature, 1558-1914 'Flower of Cities All' Editors and affiliations",https://link.springer.com//content/pdf/10.1007%2F978-3-030-05609-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-05609-4.epub
Managing Sustainable Business An Executive Education Case and Textbook Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-94-024-1144-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-94-024-1144-7.epub
Handbook of Evolutionary Research in Archaeology Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-11117-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-11117-5.epub
Educational Technology A Primer for the 21st Century,https://link.springer.com//content/pdf/10.1007%2F978-981-13-6643-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-6643-7.epub
Excel Data Analysis Modeling and Simulation,https://link.springer.com//content/pdf/10.1007%2F978-3-030-01279-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-01279-3.epub
Educational Technology A Primer for the 21st Century,https://link.springer.com//content/pdf/10.1007%2F978-981-13-6643-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-6643-7.epub
Introduction to Logic Circuits & Logic Design with Verilog,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13605-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-13605-5.epub
Introduction to Logic Circuits & Logic Design with VHDL,https://link.springer.com//content/pdf/10.1007%2F978-3-030-12489-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-12489-2.epub
Control Engineering,https://link.springer.com//content/pdf/10.1007%2F978-981-10-8297-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-10-8297-9.epub
Social Psychology in Action Evidence-Based Interventions from Theory to Practice Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13788-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-13788-5.epub
Quantitative Methods for the Social Sciences A Practical Introduction with Examples in SPSS and Stata,https://link.springer.com//content/pdf/10.1007%2F978-3-319-99118-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-99118-4.epub
"Digital Business Models Concepts, Models, and the Alphabet Case Study",https://link.springer.com//content/pdf/10.1007%2F978-3-030-13005-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-13005-3.epub
"Arbeits-, Organisations- und Personalpsychologie für Bachelor Editors and affiliations",https://link.springer.com//content/pdf/10.1007%2F978-3-662-56013-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56013-6.epub
Mapping Global Theatre Histories,https://link.springer.com//content/pdf/10.1007%2F978-3-030-12727-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-12727-5.epub
"A Course in Rasch Measurement Theory Measuring in the Educational, Social and Health Sciences",https://link.springer.com//content/pdf/10.1007%2F978-981-13-7496-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-7496-8.epub
